case_path	generator_sha256	packaged_sha256	packaging_transform	archive_member	archive_byte_match	pair_byte_match	origin	source_pin	source_locator	license_basis
RTL/deps/DataStorage.sv	a1592701cb53687202df0a9d4a403a6392be98eea190b0a5d8549ad95f58fcbb	b7f70254ebd9a935bf070f7e0c33de3eb26a476f6e57f69de9a58eb9948ddd7d	trim-extra-eof-newline	./DataStorage.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/DataStorage.scala:50:7	Mulan-PSL-2.0
RTL/deps/MSHRBuffer.sv	9872f3d34cfa7a3cd200c367f4e7a2b22ba11c06ac1cd64a52eef079296badf7	aaec2be28910c0e2817ebb973c328e074f799d4839afcff9025a11f72e2cca12	trim-extra-eof-newline	./MSHRBuffer.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MSHRBuffer.scala:40:7	Mulan-PSL-2.0
RTL/deps/MSHRBuffer_1.sv	7ff57655074451cce7ad0dac0bb6554ed5eac16d107ba8ba7253c5a3f9406777	d0d885836cdd3652cfc617c48b62b73d7260c12827b8380371addefb91c1ee8f	trim-extra-eof-newline	./MSHRBuffer_1.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/MSHRBuffer.scala:40:7	Mulan-PSL-2.0
RTL/deps/RequestArb.sv	99a1baf39db8cf5b1fc17a7927bd7036d7879419e3db76ab735693d2875d6a36	01d3cc5ea258d0ea9c2be49dc86a6d9f5c2a8804ab1e46039879e84bbf4519c0	trim-extra-eof-newline	./RequestArb.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/RequestArb.scala:29:7	Mulan-PSL-2.0
RTL/deps/ram_16x9.sv	3e37d29c71cb7f06b85907f5d37691647df85ca1e5908060849d7c64fe1596bc	a9d8362556ed7d4de0c41e69d4296c259e0a6da1e1416b5ab8498e4de896a58b	trim-extra-eof-newline	./ram_16x9.sv	no	yes	CIRCT memory lowering from Chisel Queue	chipsalliance/chisel@42f1a1e1a9f6bbf940344113da155d77499dcaa7; llvm/circt@4d750dbb2971d5f97e2fc48c700e01e460a5bdc8	src/main/scala/chisel3/util/Queue.scala (parent Queue module; generated memory has no direct FIR locator)	Apache-2.0 (Queue.scala source)
RTL/deps/Queue16_HintQueueEntry.sv	3c9a79be88de076c5a451154d26a4286d71ebc04b812d12f3b29585776e44b04	43bb24c8782253f6b50fc6259556d13d8a0bb516fbe80dbfd0fcf3ba53a890aa	trim-extra-eof-newline	./Queue16_HintQueueEntry.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Queue.scala:60:7	Apache-2.0
RTL/deps/Queue1_HintQueueEntry.sv	d884527f7f11c485118a9acfec0d40e2b59c1a0472a5143130c708e0fcfadbb7	3781aa65668dbb1d4b5b700604bc7315d37deddde02f84d3a557b8f4d2a0d4a6	trim-extra-eof-newline	./Queue1_HintQueueEntry.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Queue.scala:60:7	Apache-2.0
RTL/deps/Pipeline_6.sv	0513dc97e5ca82380a5cc5cd8dffd9d3a3cec9e292d8cddff1974bd90fe1ef60	722a07affde70d48fed18c55f0391898882a0153749ea8a940c2bcf79c290694	trim-extra-eof-newline	./Pipeline_6.sv	no	yes	OpenXiangShan/Utility	bab34605babce74732f7f441c5d126a0869285bd	src/main/scala/utility/Pipeline.scala:22:7	Mulan-PSL-2.0 (per-file notice; repository has no root LICENSE at pin)
RTL/deps/Arbiter3_HintQueueEntry.sv	32112abd1d47ea63536f896004b582979b2042fe773180d9f7fd2c0165a1f63c	99d7639d63945a9757662d7c0f40982d1d5c4199d5005edd498134dde6a8eb96	trim-extra-eof-newline	./Arbiter3_HintQueueEntry.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Arbiter.scala:149:7	Apache-2.0
RTL/deps/CustomL1Hint.sv	0a93f8f2ee2810f5b81336d9f079f395726ce7983fd1325b6c82e4ea6defdeef	b7424dd6009e0ebb938962b396d4a2a797d4ca80cac6a1d31211db897bb67f3c	trim-extra-eof-newline	./CustomL1Hint.sv	no	yes	OpenXiangShan/XSCache	54a2a7527f7366e3cb3fe378b1f1e92f18cbf33f	src/main/scala/coupledL2/CustomL1Hint.scala:51:7	Mulan-PSL-2.0
RTL/deps/Arbiter3_TaskWithData.sv	57aad82fa83397778f3d2b981df6fab6fdba5acf0b13d61ca9689639d791d575	f99debb949ba68dc4d7fab430f81c94f87a9c1c79650e573cb5ce8cf3279864f	trim-extra-eof-newline	./Arbiter3_TaskWithData.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Arbiter.scala:149:7	Apache-2.0
RTL/deps/Arbiter3_CHIREQ.sv	4569e095eb4ab94cb1d8f607213c2c3e284b3eaed57ff646fce6b5d476c16088	6ea29b5f012faaa48cde17e0a7ef370e581baa868e0fe939b6278aab390e4253	trim-extra-eof-newline	./Arbiter3_CHIREQ.sv	no	yes	chipsalliance/chisel	v7.3.0@42f1a1e1a9f6bbf940344113da155d77499dcaa7	src/main/scala/chisel3/util/Arbiter.scala:149:7	Apache-2.0
